JN,PICKUP,1,2,3,4,5,6,7,8,9,0,JR6,JD1
1984-11,,JQ1TST,JJ2GWE,JL3VZU,JE4WNE,JR5JIH,JG6KAW,JF7MHM,JE8DOQ,JH9OTQ,JR0LSW,JS6AOE,
1984-12,,JQ1UWX,JJ2JJQ,JL3XPT,JE4WNE,JR5JIG,JG6LFT,JF7MWH,JE8EFN,JH9PDA,JR0LZD,JS6APK,
1985-1,,JQ1XDM,JJ2KPB,JM3BKY,JE4XMX,JR5KAU,JG6LSQ,JF7NPO,JE8FPQ,JH9PEF,JR0MNC,JS6ARB,
1985-2,,JS1ARB,JJ2KXG,JM3DYZ,JF4AIN,JR5LLE,JG6MNL,JF7OPK,JE8FPQ,JH9PUI,JR0NJN,JS6AVA,
1985-3,,JS1CWX,JJ2NBZ,JM3EUH,JF4BGU,JR5LXM,JG6PDC,JF7PRC,JE8GSL,JH9QIV,JR0NVS,JS6AWI,
1985-4,,JS1GIY,JJ2OWI,JM3HWK,JF4CHP,JR5MYC,JG6QEJ,JF7QPD,JE8HWI,JH9RAB,JR0ONV,JS6BBK,
1985-5,,JS1HLX,JJ2PQZ,JM3JLR,JF4CHP,JR5NBR,JG6RFR,JF7RNT,JE8HWI,JH9RKH,JR0PHU,JS6BBK,
1985-6,,JS1JRZ,JJ2RHO,JM3KPH,JF4EVM,JR5NFN,JG6SVP,JF7SQW,JE8IVJ,JH9RSA,JR0PNK,JS6BDX,
1985-7,,JS1LNV,JJ2SEU,JM3LLW,JF4FDW,JR5NWC,JG6TNR,JF7UCQ,JE8IVJ,JH9RTX,JR0PUX,JS6BFU,
1985-8,,JS1OBN,JJ2SYQ,JM3MGW,JF4FKJ,JR5ODV,JG6UFI,JF7ULN,JE8JON,JH9RTX,JR0PYH,JS6BGK,
1985-9,,JS1PXD,JJ2TVR,JM3PVV,JF4FKJ,JR5OLM,JG6VLS,JF7WCY,JE8KBJ,JH9SGW,JR0QWD,JS6BGK,
1985-10,,JS1RRY,JJ2UXB,JM3RNC,JF4HGN,JR5PIG,JG6VYJ,JF7WOB,JE8LDF,JH9SJP,JR0RFY,JS6BJH,
1985-11,,JS1UEH,JJ2WNX,JM3TLF,JF4GYV,JR5PPM,JG6WKZ,JF7WZZ,JE8LJF,JH9SRW,JR0RTX,JS6BLJ,
1985-12,,JS1VHH,JJ2XGZ,JM3UQL,JF4HST,JR5QDH,JG6XQA,JF7XRM,JE8LXD,JH9SYU,JR0SBA,JS6BMI,
1986-1,,JS1XKH,JJ2XYB,JM3UVC,JF4HTZ,JR5REM,JG6XSK,JG7APG,JE8MWP,JH9TCP,JR0SDI,JS6BQJ,
1986-2,,JE1FJN,JK2AQK,JM3UVC,JF4IMW,JR5RUV,JI6BEM,JG7BJA,JE8NKM,JH9TXM,JR0TCE,JS6BQG,
1986-3,,JE1IQI,JK2DYK,JN3BRJ,JF4JPI,JR5SWT,JI6BNX,JG7CXK,JE8NSL,JH9TXM,JR0TYB,JS6BUJ,
1986-4,,JE1LSG,JK2GDF,JN3GHU,JF4LUC,JR5TTN,JI6BZW,JG7DXT,JE8ORN,JH9UJK,JR0UWG,JS6BXY,
1986-5,,JE1QXI,JK2HDX,JN3HMY,JF4MJM,JR5UAF,JI6DMV,JG7EQH,JE8PLY,JH9UPT,JR0VDJ,JS6BZJ,
1986-6,,JE1TDY,JK2ICP,JN3IUE,JF4MUX,JR5ULD,JI6GQT,JG7FCB,JE8QCT,JH9UUI,JR0VMA,JS6BZQ,
1986-7,,JE1VTX,JK2JDO,JN3JWI,JF4NVS,JR5UZN,JI6GQT,JG7FYF,JE8QON,JH9VAC,JR0VRI,JS6CCE,
1986-8,,JF1CGC,JK2KLK,JN3MHC,JF4PPN,JR5VBQ,JI6HNN,JG7GRD,JE8RFH,JH9VJF,JR0WHZ,JS6CDJ,
1986-9,,JF1FZX,JK2LGR,JN3MHC,JF4QJF,JR5WJR,JI6HRV,JG7HMV,JE8RTD,JH9VJF,JR0XBC,JS6CEX,
1986-10,,JF1JAH,JK2MZB,JN3QEN,JF4QLQ,JR5WWF,JI6JHQ,JG7IGF,JE8RYI,JH9VPP,JR0XEV,JS6CEY,
1986-11,,JF1LLB,JK2OKR,JN3RDA,JF4SAP,JR5XCW,JI6LEK,JG7IVO,JE8TIN,JH9VVR,JR0XPJ,JS6CGI,
1986-12,,JF1RNL,JK2PLI,JN3SAA,JF4SQE,JR5XIQ,JI6LMP,JG7JIZ,JE8UHA,JH9WHX,JR0XST,JS6CJU,
1987-1,,JF1VLP,JK2QPK,JN3UNJ,JF4UNI,JR5XXD,JI6NDJ,JG7JZC,JE8UQA,JH9WKT,JE0ALK,JS6CLZ,
1987-2,,JG1AXJ,JK2SPT,JN3WLI,JF4UNI,JE5AUO,JI6NNE,JG7KTF,JE8UZE,JH9WJT,JE0AYQ,JS6CMA,
1987-3,,JG1EUB,JK2UOL,JN3XDJ,JF4UNI,JE5BMA,JI6PPZ,JG7MLZ,JE8UZE,JH9XDR,JE0BVJ,JS6CQP,
1987-4,,JG1IID,JK2UOL,JO3BNX,JF4WPV,JE5CNY,JI6QOO,JG7NPT,JE8WIM,JH9XLA,JE0CSS,JS6CST,
1987-5,,JG1LDQ,JK2VZE,JO3EEL,JF4WPV,JE5DDW,JI6RRZ,JG7OZK,JE8XBV,JH9XPJ,JE0DHJ,JS6CST,
1987-6,,JG1OJK,JL2BTR,JO3FCR,JF4XWU,JE5DIP,JI6STN,JG7OZY,JE8XRZ,JH9XZX,JE0DRG,JS6CZM,
1987-7,,JG1SAP,JL2BTX,JO3FWF,JF4XWU,JE5EAQ,JI6UMU,JG7POQ,JE8XUX,JR9ACQ,JE0DUG,JS6CZM,
1987-8,,JG1XGC,JL2CVM,JO3HJU,JG4AUC,JE5EWB,JI6WRZ,JG7QYL,JF8CFG,JR9AOP,JE0EGI,JS6DDN,
1987-9,,JH1DLS,JL2FVL,JO3IRY,JG4BLR,JE5FZE,JJ6AGS,JG7TBP,JF8DEG,JR9BCB,JE0FDD,JS6DDN,
1987-10,,JH1HNQ,JL2HTY,JO3MKP,JG4GFC,JE5HCK,JJ6BKW,JG7TBS,JF8EIL,JR9BRU,JE0FYB,JS6DDN,
1987-11,,JH1LQK,JL2LWI,JO3NFW,JG4GFC,JE5HQQ,JJ6EYK,JG7UVN,JF8FAX,JR9CBK,JE0GEX,JS6DLP,
1987-12,,JH1RIT,JL2LVC,JO3OVM,JG4JFT,JE5IHU,JJ6HCN,JG7VWP,JF8FTY,JR9COY,JE0HDQ,JS6DLP,
1988-1,,JH1WGM,JL2NTO,JO3RYU,JG4KZG,JE5JMH,JJ6KZA,JI7ATG,JF8HSI,JR9DAM,JE0HTO,JS6DPU,
1988-2,,JI1CNB,JL2PFW,JO3SKL,JG4LNQ,JE5KOI,JJ6KHP,JI7CFL,JF8HXT,JR9DCK,JE0JBA,JS6DUP,
1988-3,,JI1HWJ,JL2SYU,JO3VUS,JG4NOL,JE5LQI,JJ6MVX,JI7DLN,JF8IOM,JR9DLR,JE0KEL,JS6DWL,
1988-4,,JI1KRS,JL2TXC,JO3XGY,JG4NZC,JE5LYV,JJ6OYY,JI7EYQ,JF8JSP,JR9ECQ,JE0KXD,JS6DWL,
1988-5,,JI1QKT,JL2WID,JP3BRR,JG4QBI,JE5NHP,JJ6QQX,JI7GLC,JF8LBR,JR9EUB,JE0LQZ,JS6EDQ,
1988-6,,JI1URB,JL2XPL,JP3DWJ,JG4QMU,JE5NVR,JJ6TWK,JI7HAJ,JF8LQG,JR9FCO,JE0MAN,JS6EGK,
1988-7,,JJ1AEN,JM2ADF,JP3EKA,JG4SCE,JE5OMR,JJ6UZD,JI7IEE,JF8MBD,JR9FEP,JE0MLB,JS6EIB,
1988-8,,JJ1FXK,JM2DAB,JP3GER,JG4SZT,JE5OYU,JJ6WHQ,JI7IWP,JF8OQJ,JR9FTZ,JE0MYH,JS6EJQ,
1988-9,,JJ1MQY,JM2FCS,JP3IMK,JG4UVO,JE5QCK,JJ6XTU,JI7KEO,JF8QKG,JR9GEV,JE0OBD,JS6EJQ,
1988-10,,JJ1SPV,JM2HMI,JP3LDD,JG4WJG,JE5RGN,JK6AXO,JI7LGC,JF8RPO,JR9GOR,JE0OSY,JS6EPH,
1988-11,,JJIXSL,JM2IGS,JP3MFS,JG4WUL,JE5RZC,JK6DWV,JI7MXW,JF8RTO,JR9GRX,JE0PJM,JS6EST,
1988-12,,JK1GFH,JM2KAY,JP3ORI,JG4XZC,JE5SWI,JK6GJM,JI7NTP,JF8SSS,JR9HEP,JE0QDD,JS6EST,
1989-1,,JK1MQD,JM2LMW,JP3RIP,JI4BDF,JE5TLQ,JK6HAU,JI7PNA,JF8TSO,JR9HOG,JE0RGJ,JS6FBJ,
1989-2,,JK1QOD,JM2MXM,JP3SJQ,JI4DDG,JE5UYA,JK6JLD,JI7QLV,JF8UQD,JR9IBC,JE0SKJ,JS6FBJ,
1989-3,,JL1CEL,JM2QBD,JP3SXF,JI4EED,JE5WRV,JK6NMK,JI7SXE,JE8VTP,JR9IDK,JE0TAX,JS6FHW,
1989-4,,JL1KWC,JM2RTM,JP3UWS,JI4FGJ,JE5XNI,JK6OFT,JI7TOH,JF8VTL,JR9IDI,JE0UMX,JS6FIG,
1989-5,,JL1XBV,JM2WSS,JQ3AIU,JI4GZS,JF5AHD,JK6QQY,JI7USN,JF8WYF,JR9JKG,JE0VBQ,JS6FPQ,
1989-6,,JM1ECG,JN2AAE,JQ3BJY,JI4HXE,JF5AOS,JK6RQF,JI7VDW,JF8XRT,JR9JOY,JE0VSK,JS6FQH,
1989-7,,JM1NFO,JN2CST,JQ3CTT,JI4ISO,JF5BFL,JK6SWV,JI7WJE,JG8AUS,JR9JTT,JE0VYJ,JS6FQH,
1989-8,,JN1BBO,JN2DHB,JQ3ERN,JI4KCJ,JF5BRO,JK6UAE,JI7WZS,JG8CMA,JR9KAU,JE0WUJ,JS6FSX,
1989-9,,JN1ITW,JN2XEL,JQ3GQV,JI4KXS,JF5CPS,JK6VFK,JI7XWL,JG8DYR,JR9KRC,JE0XGC,JS6FWE,
1989-10,,JN1VBX,JN2GRC,JQ3JAN,JI4LQE,JF5DKC,JK6WVS,JJ7ALI,JG8FEA,JR9LIM,JE0XLT,JS6GAD,
1989-11,,JO1IBP,JN2LNV,JQ3LAN,JI4NVP,JF5DUU,JL6AOK,JJ7BUT,JG8FVU,JR9LPG,JF0BMM,JS6GCY,
1989-12,,JO1OLK,JN2MTR,JQ3MUI,JI4PFV,JF5FCC,JL6CHD,JJ7DVA,JG8GYX,JR9MCH,JF0CMP,JS6GID,
1990-1,,JP1JCX,JN2OBD,JQ3RST,JI4QEZ,JF5GHN,JL6DER,JJ7FCT,JG8IDF,JR9MTB,JF0DSG,JS6GID,
1990-2,,JP1UEG,JN2PMS,JQ3TBN,JI4SEJ,JF5GYF,JL6HLB,JJ7GGL,JG8IKB,JR9NJZ,JF0EFU,JS6GMK,
1990-3,,JQ1JWX,JN2WCZ,JQ3UEO,JI4SOM,JF5HSS,JL6JXC,JJ7HKZ,JG8JLI,JR9NRN,JF0FMO,JS6GRJ,
1990-4,,JR1GFP,JO2DXP,JQ3WMV,JI4TQF,JF5INW,JL6KLA,JJ7ITG,JG8KVC,JR9NRN,JF0GGW,JS6GUX,
1990-5,,JR1ORV,JO2DXP,JS3AFP,JI4UMG,JF5JLB,JL6KLA,JJ7JTX,JG8LLG,JR9OVI,JF0HKI,JS6GUX,
1990-6,,JR1WBV,JO2HNQ,JS3BRI,JI4XNG,JF5KAW,JL6OXM,JJ7MEY,JG8MOU,JR9PAV,JF0IUK,JS6HDD,
1990-7,,7K1GZY,JO2IAA,JS3DKU,JJ4ADK,JF5KQY,JL6PMI,JJ7NQM,JG8MYO,JR9PGX,JF0JBJ,JS6HUE,
1990-8,,7K1NAT,JO2MTX,JS3GTP,JJ4DJY,JF5LOG,JL6QEA,JJ7OYA,JG8NUX,JR9PRX,JF0KFK,JS6HIE,
1990-9,,7K1RXI,JO2NLL,JS3HRU,JJ4EQI,JF5MAX,JL6RBX,JJ7POG,JG8PIY,JR9QKQ,JF0KXW,JS6HLC,
1990-10,,7K1WMK,JO2QGZ,JS3JWC,JJ4GAM,JF5NCH,JL6SDL,JJ7PSP,JG8PUJ,JR9RFU,JF0MFO,JS6HLS,
1990-11,,7L1DPY,JO2TJW,JS3LOH,JJ4HLQ,JF5NXL,JL6TLK,JJ7SFS,JG8QPE,JR9RMJ,JF0MFO,JS6HSJ,
1990-12,,7L1IEA,JO2ULM,JS3LUH,JJ4HVG,JF5OMY,JL6VQU,JJ7STC,JG8RIT,JR9RXF,JF0NKA,JS6HSL,
1991-1,,7L1PMJ,JO2VWJ,JS3NXM,JJ4JRV,JF5PNZ,JL6VQU,JJ7ULR,JG8SNP,JR9SFY,JF0OVR,JS6HUB,
1991-2,,7L1UPA,JO2VWJ,JS3RYS,JJ4KRD,JF5QMK,JM6AHK,JJ7WGR,JG8SNP,JR9SZW,JF0QBK,JS6HXW,
